student_id,student_name,school_id,gender,class,attendance,math_score,science_score,english_score,income_level,travel_distance,internet_access,parent_education,previous_absences,dropout_label
ST00025,Joshua Ramakrishnan,TS062,Female,9,61.0,61,56,53,Low,8.6,Yes,Secondary,19,1
ST00026,Omaja Mittal,TS123,Male,7,74.2,68,70,61,Medium,2.8,Yes,Primary,10,0
ST00027,Faras Thaman,TS060,Female,8,50.2,45,50,42,Medium,7.2,No,Primary,29,1
ST00028,Harita Prabhakar,TS122,Male,10,64.7,61,69,68,Low,7.0,Yes,Primary,5,1
ST00029,Yash Chowdhury,TS293,Female,10,93.7,83,80,87,Medium,11.0,Yes,Secondary,26,0
ST00030,Reva Goswami,TS112,Male,6,51.2,62,48,46,High,3.3,Yes,Secondary,29,1
ST00031,Ethan Sahota,TS092,Female,10,97.7,80,94,78,Medium,2.3,No,Secondary,2,0
ST00032,Tara Patel,TS013,Male,8,58.2,54,50,47,Medium,6.0,Yes,Secondary,25,1
ST00033,Fariq Sarin,TS093,Female,10,81.7,81,79,69,Medium,8.6,Yes,Secondary,18,0
ST00034,Advay Sarraf,TS489,Male,8,65.6,63,59,54,Low,6.0,Yes,Primary,30,1
ST00035,Unni Sood,TS023,Female,9,95.3,93,99,94,Medium,3.9,Yes,None,18,0
ST00036,Rayaan Bahri,TS379,Female,6,73.3,74,70,68,Medium,8.9,Yes,Secondary,14,0
ST00037,Aarush Ramesh,TS124,Male,7,75.8,79,75,78,Low,3.2,Yes,None,9,0
ST00038,Lucky Lall,TS061,Female,7,63.1,58,61,72,High,1.2,Yes,Primary,10,0
ST00039,Falguni Padmanabhan,TS487,Female,10,54.2,46,54,62,Low,4.9,Yes,Primary,8,1
ST00040,Urishilla Narain,TS432,Male,7,72.7,68,63,80,Medium,1.7,Yes,Secondary,1,0
ST00041,Chatura Date,TS223,Male,7,78.6,80,76,75,Low,1.9,No,Primary,1,0
ST00042,Leena Vig,TS238,Male,9,93.5,84,89,92,Low,8.0,No,Graduate,23,1
ST00043,Jagrati Chopra,TS174,Male,8,80.2,92,75,87,High,10.3,Yes,Primary,16,0
ST00044,William Sachar,TS301,Male,9,67.3,77,67,65,High,6.8,Yes,Primary,4,0
ST00045,Faras Bose,TS217,Male,6,87.2,89,85,78,High,4.5,Yes,Secondary,24,0
ST00046,Ekaja Varkey,TS256,Male,10,61.2,49,53,59,Low,6.2,No,Graduate,29,1
ST00047,Fariq Bajwa,TS284,Female,7,64.8,63,53,58,Low,10.3,Yes,Secondary,6,1
ST00048,Anamika Dugar,TS178,Male,10,85.0,82,82,95,High,4.2,Yes,None,10,0
ST00049,Wriddhish Pandya,TS080,Male,9,89.4,90,82,82,Low,6.1,No,Secondary,11,0
ST00050,Pooja Srivastava,TS054,Male,10,48.7,42,48,38,Medium,4.7,Yes,Primary,20,1
ST00051,Jai Narula,TS170,Male,10,64.1,75,63,65,High,5.5,Yes,None,11,0
ST00052,Utkarsh Mittal,TS155,Female,9,83.1,82,79,86,Low,7.5,Yes,None,28,1
ST00053,Dhriti Bhatti,TS071,Male,8,75.4,64,77,66,Low,10.6,No,Secondary,2,0
ST00054,Wakeeta Khanna,TS071,Female,7,58.3,63,48,52,Medium,7.1,Yes,Graduate,18,1
ST00055,Balveer Chand,TS490,Female,9,49.4,59,45,51,Medium,4.7,Yes,None,18,1
ST00056,Tripti Sami,TS231,Male,8,51.2,53,52,47,High,8.5,Yes,Primary,23,1
ST00057,Damini Bansal,TS092,Male,7,82.4,94,74,93,High,7.4,Yes,Primary,19,0
ST00058,Rachit Venkataraman,TS196,Male,7,60.3,59,54,55,Low,4.6,Yes,Secondary,19,1
ST00059,Ranbir Sahota,TS049,Male,10,77.4,69,71,65,Low,1.3,No,None,30,1
ST00060,Zarna Khalsa,TS179,Male,7,50.2,42,52,44,Medium,11.1,No,Secondary,12,1
ST00061,Anvi Loyal,TS376,Female,6,79.5,70,75,69,Medium,1.4,Yes,Secondary,22,0
ST00062,Yauvani Sibal,TS453,Male,8,86.1,81,90,81,High,4.8,Yes,Secondary,15,0
ST00063,Hritik Ratta,TS489,Female,8,77.2,73,66,67,Medium,0.9,No,Graduate,1,0
ST00064,Yashodhara Trivedi,TS262,Male,7,78.2,72,76,68,High,3.3,No,Graduate,14,0
ST00065,Mitesh Dara,TS240,Female,9,49.4,52,42,43,Low,1.2,Yes,Secondary,17,1
ST00066,Vihaan Sagar,TS451,Male,8,76.7,78,69,74,Low,2.4,Yes,Secondary,27,0
ST00067,Champak Mann,TS253,Male,9,96.3,89,99,86,Low,6.6,Yes,None,24,0
ST00068,Zilmil Vaidya,TS179,Female,7,76.1,74,69,79,High,2.6,No,Primary,5,0
ST00069,Matthew Kumar,TS260,Male,10,75.2,76,62,75,Medium,9.7,No,Secondary,21,0
ST00070,Eiravati Tara,TS478,Male,8,48.5,35,45,47,Low,10.1,No,Secondary,17,1
ST00071,Gunbir Hegde,TS162,Female,10,55.1,58,59,51,Medium,3.7,Yes,Graduate,30,1
ST00072,Owen Rattan,TS094,Female,7,52.8,54,48,42,Medium,11.4,No,Secondary,4,1
ST00073,Vansha Thaker,TS124,Female,10,74.1,73,76,74,High,10.3,Yes,None,10,0
ST00074,Yashvi Bakshi,TS130,Male,9,78.6,78,85,71,Low,0.8,Yes,Graduate,6,0
ST00075,Abeer Datta,TS096,Male,10,94.4,76,76,87,Medium,6.8,No,Secondary,21,0
ST00076,Gaurav Rama,TS352,Male,8,69.5,77,61,77,Low,2.9,Yes,Graduate,15,1
ST00077,Rajata Jhaveri,TS136,Female,10,79.8,76,82,86,Low,8.7,Yes,Primary,7,0
ST00078,Chandani Banik,TS291,Male,8,65.3,49,54,56,Medium,8.5,No,Secondary,27,1
ST00079,Vihaan Dugar,TS037,Male,6,78.2,72,79,79,Low,6.7,Yes,Primary,10,0
ST00080,Pooja Narayanan,TS164,Female,7,59.0,50,53,53,Low,7.3,Yes,None,29,1
ST00081,David Borra,TS413,Male,6,60.6,51,58,58,Low,0.8,Yes,Primary,30,1
ST00082,Rudra Raja,TS466,Male,8,66.2,56,67,55,Medium,10.2,Yes,Secondary,17,1
ST00083,Ijaya Pillai,TS146,Female,8,65.6,66,60,59,Low,4.0,Yes,Primary,16,1
ST00084,Chandani Jaggi,TS048,Male,9,78.6,65,74,69,Medium,2.4,No,Primary,21,0
ST00085,Vrinda Garg,TS315,Female,7,73.2,75,64,63,Medium,4.4,Yes,Secondary,6,0
ST00086,Wyatt Thaker,TS261,Female,8,57.9,63,51,67,Medium,0.7,Yes,Secondary,14,0
ST00087,Saumya Bedi,TS386,Male,8,81.9,69,84,82,Medium,8.3,Yes,None,20,0
ST00088,Tanvi Bajwa,TS028,Male,6,57.3,70,59,58,High,3.2,Yes,Primary,20,1
ST00089,Ati Kunda,TS291,Female,10,83.2,89,77,82,High,9.1,Yes,Secondary,6,0
ST00090,Chanakya Sachdeva,TS448,Male,7,48.9,54,49,44,Low,6.4,Yes,Secondary,15,1
ST00091,Deepa Walla,TS115,Female,10,59.6,59,60,61,Low,3.8,Yes,Secondary,13,1
ST00092,Urvashi Bala,TS114,Female,6,82.4,77,87,86,Medium,8.0,Yes,Secondary,30,0
ST00093,Warda Boase,TS381,Male,6,65.8,65,63,56,Low,8.8,No,Graduate,18,1
ST00094,Sathvik Rao,TS124,Female,7,68.2,72,74,58,Medium,5.8,Yes,None,26,1
ST00095,Christopher Pai,TS491,Male,8,57.9,49,59,42,Low,4.1,No,Secondary,11,1
ST00096,Dominic Randhawa,TS426,Male,10,45.0,44,55,36,Medium,11.9,Yes,Primary,20,1
ST00097,Nikita Jaggi,TS357,Female,9,73.6,70,78,61,Medium,6.7,Yes,None,0,0
ST00098,Fariq Ramanathan,TS206,Male,8,47.7,44,37,56,Medium,9.3,Yes,Primary,18,1
ST00099,Vivaan Bhavsar,TS079,Female,10,61.5,66,56,59,Medium,7.2,Yes,Secondary,20,1
ST00100,Guneet Prabhu,TS449,Male,8,51.7,56,53,53,Medium,1.5,Yes,None,1,0
ST00101,Neelima Kothari,TS236,Male,8,90.8,82,79,77,Low,7.0,Yes,Primary,22,0
ST00102,Mohini Bakshi,TS253,Female,10,47.3,48,51,42,Medium,10.8,Yes,Graduate,4,0
ST00103,Omisha Tak,TS361,Female,7,83.3,64,65,67,Low,5.0,No,None,17,1
ST00104,Ikbal Shankar,TS407,Female,6,64.8,62,70,64,Low,10.7,Yes,Secondary,26,1
ST00105,Keya Morar,TS197,Female,10,85.5,89,82,76,High,5.7,Yes,Graduate,4,0
ST00106,Omya Lata,TS299,Male,7,97.5,99,85,98,Low,5.5,Yes,None,29,0
ST00107,Rudra Banik,TS195,Male,8,61.8,51,61,62,Low,8.7,Yes,Primary,23,1
ST00108,Vanya Sarin,TS169,Male,6,96.8,82,87,83,Medium,9.3,Yes,Primary,3,0
ST00109,Dev Chawla,TS026,Male,8,92.6,95,80,93,Low,4.1,Yes,None,5,0
ST00110,Gavin Sachdev,TS134,Male,7,48.0,50,56,55,Low,9.9,Yes,Secondary,1,1
ST00111,Samarth Menon,TS248,Male,9,58.9,43,48,50,Low,2.8,No,Primary,6,1
ST00112,Dhriti Bhatia,TS232,Female,7,70.2,77,58,76,Low,6.4,Yes,None,20,0
ST00113,Aishani Puri,TS129,Female,10,51.1,54,45,41,Low,5.3,Yes,Primary,7,1
ST00114,Nandini Barad,TS438,Male,7,84.5,96,88,85,High,10.1,Yes,None,27,0
ST00115,Omisha Raja,TS024,Male,6,62.4,60,69,69,Medium,10.8,Yes,Secondary,0,0
ST00116,Chaitanya Vohra,TS359,Female,8,77.9,78,76,78,High,11.6,Yes,Secondary,29,0
ST00117,Urmi Contractor,TS225,Female,8,66.2,60,53,55,Medium,8.1,No,Graduate,27,1
ST00118,Ishanvi Prabhu,TS086,Female,7,74.9,64,57,77,Low,7.2,No,Secondary,1,0
ST00119,Champak Parmer,TS022,Female,7,93.6,80,79,80,Medium,2.8,Yes,Primary,7,0
ST00120,Jeevika Saxena,TS086,Female,9,97.8,85,84,88,Low,1.5,Yes,Secondary,9,0
ST00121,Kevin Virk,TS043,Female,6,91.1,93,77,77,High,3.7,No,Secondary,20,0
ST00122,Charan Thakur,TS239,Female,7,72.2,73,64,74,Medium,10.6,No,None,21,0
ST00123,Wriddhish Dey,TS293,Female,10,55.7,63,49,61,Medium,12.0,Yes,Primary,11,0
ST00124,Nilima Sarma,TS122,Male,6,88.7,78,80,84,Medium,5.2,Yes,Primary,13,0
ST00125,Yoshita Kale,TS442,Female,8,55.9,64,65,62,Medium,1.6,Yes,Primary,22,1
ST00126,Kabir Mukherjee,TS099,Female,7,52.8,63,47,58,High,2.9,Yes,Secondary,20,1
ST00127,Gauri Dhawan,TS125,Female,6,73.1,79,60,64,Low,9.3,Yes,Graduate,26,1
ST00128,Azad Chandra,TS018,Male,7,46.1,38,53,36,Medium,10.2,Yes,Primary,28,1
ST00129,Darika Anand,TS395,Female,8,65.9,64,56,57,Medium,2.7,Yes,Graduate,10,0
ST00130,Charles Ramaswamy,TS416,Female,10,54.3,55,57,57,Low,1.9,Yes,Secondary,27,1
ST00131,Bahadurjit Kumer,TS231,Male,10,84.2,71,84,77,Medium,2.9,No,Primary,10,0
ST00132,Nidhi Patla,TS296,Male,9,77.6,67,68,65,Low,10.9,No,Secondary,24,1
ST00133,Vasana Chauhan,TS369,Male,9,70.7,77,69,65,Medium,9.5,Yes,Primary,18,0
ST00134,Charles Naik,TS485,Female,7,58.6,54,59,52,Medium,5.0,Yes,Primary,3,0
ST00135,Bachittar Talwar,TS128,Female,9,59.2,72,69,73,High,7.9,Yes,Graduate,7,0
ST00136,Prisha Sinha,TS072,Male,10,66.3,59,54,53,Low,5.7,No,None,14,1
ST00137,Rajeshri Sampath,TS380,Female,10,79.8,68,73,71,Low,5.4,No,None,21,1
ST00138,Orinder Ganesh,TS281,Female,9,97.5,86,80,77,Low,2.5,No,Graduate,0,0
ST00139,Urvi Dave,TS285,Male,8,56.3,65,58,53,High,8.0,Yes,Secondary,18,1
ST00140,Urmi Keer,TS095,Female,7,48.2,51,50,37,Medium,5.1,No,Secondary,14,0
ST00141,Pavani Golla,TS266,Female,7,68.1,64,58,65,Low,1.7,Yes,Secondary,11,1
ST00142,Viraj Pillay,TS283,Female,7,55.8,56,45,51,Low,10.3,No,Secondary,14,1
ST00143,Madhavi Master,TS062,Female,10,81.8,85,73,78,Low,7.8,Yes,Graduate,14,0
ST00144,Michael Suresh,TS445,Male,9,57.5,52,60,63,Medium,11.3,Yes,Secondary,2,0
ST00145,Joshua Din,TS365,Female,10,53.2,59,53,47,Low,3.4,Yes,Primary,9,1
ST00146,Gaurav Tata,TS386,Male,7,66.2,69,67,60,Medium,9.4,Yes,Secondary,13,0
ST00147,Turvi Dora,TS186,Female,9,64.5,67,67,58,Low,9.5,Yes,Primary,13,1
ST00148,Laksh Kashyap,TS232,Female,9,52.6,59,56,54,Medium,4.3,Yes,Secondary,16,1
ST00149,Nimrat Sandhu,TS152,Male,10,69.4,61,61,66,Low,4.6,Yes,Primary,30,1
ST00150,Reva Chowdhury,TS230,Male,10,60.7,69,50,64,Low,10.9,Yes,Graduate,0,1
ST00151,Aishani Barman,TS333,Female,6,71.2,58,59,65,Medium,7.8,No,Secondary,13,0
ST00152,Baljiwan Shan,TS370,Female,8,57.7,65,62,57,Low,8.5,Yes,Graduate,14,1
ST00153,Michael Chacko,TS494,Female,10,96.9,88,92,96,Medium,6.3,Yes,Primary,9,0
ST00154,Chaaya Chada,TS345,Female,6,87.7,86,78,94,High,8.4,Yes,Primary,3,0
ST00155,Nisha Jaggi,TS446,Male,9,56.1,60,50,54,Medium,2.3,Yes,Primary,2,0
ST00156,Pranit Kaur,TS479,Male,10,70.3,53,66,65,Medium,9.8,No,Secondary,26,0
ST00157,Karan Muni,TS179,Male,10,60.6,45,47,62,Low,9.8,No,Graduate,19,1
ST00158,Hemang Ravi,TS202,Female,9,72.9,76,71,69,Medium,2.3,Yes,Secondary,19,0
ST00159,Baghyawati Sarkar,TS052,Female,7,59.5,65,48,62,Medium,4.1,Yes,Secondary,13,0
ST00160,Ekavir Raval,TS391,Male,6,72.2,69,75,74,Low,3.5,Yes,None,16,0
ST00161,Chanakya Devi,TS350,Female,10,64.4,57,65,60,Low,8.9,Yes,Primary,10,1
ST00162,Chakradev Mannan,TS350,Female,10,95.8,88,86,93,Low,1.7,No,Primary,15,0
ST00163,Harrison Krish,TS205,Female,7,54.7,49,51,55,Low,11.6,Yes,Primary,25,1
ST00164,Sanya Om,TS218,Male,9,78.8,79,68,69,Low,7.7,Yes,Graduate,24,1
ST00165,Oscar Manda,TS374,Male,9,54.2,55,50,50,Medium,10.2,Yes,Primary,25,1
ST00166,Samar Andra,TS043,Female,8,45.9,54,56,36,Medium,4.5,Yes,None,19,1
ST00167,Advik Choudhry,TS049,Male,6,64.4,75,68,75,High,11.4,Yes,Graduate,16,1
ST00168,Vinaya Handa,TS059,Male,8,75.9,74,77,59,Low,4.3,No,None,9,0
ST00169,Falak Nagarajan,TS045,Female,10,90.4,78,87,79,Medium,4.5,Yes,Primary,1,0
ST00170,Balendra Lanka,TS467,Female,8,92.0,91,89,80,Low,5.0,Yes,Primary,22,0
ST00171,Quincy Som,TS257,Male,9,50.7,40,41,56,Low,3.9,Yes,Primary,18,1
ST00172,Lila Rana,TS264,Male,10,54.7,47,52,56,Low,3.2,Yes,None,19,1
ST00173,Rajata Varkey,TS185,Male,8,62.1,70,59,57,Medium,2.8,Yes,Secondary,5,0
ST00174,Qarin Sem,TS081,Female,10,93.1,92,93,97,High,5.5,Yes,Graduate,21,0
ST00175,Garima Palla,TS489,Female,9,94.2,93,99,88,Low,9.9,Yes,None,4,0
ST00176,Darpan Palla,TS301,Female,9,65.1,63,72,73,Low,10.8,Yes,Primary,6,1
ST00177,Jhalak Bali,TS108,Male,6,65.2,64,53,60,Low,8.5,Yes,Graduate,17,1
ST00178,Ekiya Ray,TS013,Female,8,66.5,72,69,58,Medium,8.3,Yes,None,14,0
ST00179,Dalbir Parsa,TS067,Male,10,95.7,98,85,84,Low,4.6,Yes,Graduate,15,0
ST00180,Pahal Toor,TS236,Female,8,51.4,58,52,44,Medium,5.3,Yes,Secondary,1,0
ST00181,Aayush Dada,TS389,Male,9,45.5,53,50,43,Medium,7.2,Yes,None,18,1
ST00182,Jagvi Kapadia,TS025,Male,6,91.6,89,83,82,High,8.4,No,None,12,0
ST00183,Megha Yogi,TS213,Male,8,97.1,84,90,95,Low,3.0,Yes,None,20,0
ST00184,Neel Mishra,TS002,Male,8,64.7,72,59,55,Medium,3.7,Yes,Primary,18,1
ST00185,Raagini Basak,TS239,Female,8,90.8,80,77,90,Low,10.6,Yes,Secondary,18,1
ST00186,Hamsini Rajagopalan,TS057,Female,9,90.0,87,78,89,Low,10.9,Yes,None,21,1
ST00187,Avni Verma,TS362,Female,7,84.6,78,89,84,Medium,4.6,Yes,Primary,27,0
ST00188,Lekha Hayer,TS248,Male,8,82.8,87,89,76,High,6.3,No,Secondary,30,0
ST00189,Anya Ramesh,TS481,Male,8,95.4,90,85,81,Low,2.2,Yes,None,29,0
ST00190,Mitesh Sachdeva,TS199,Female,7,65.8,72,54,73,Low,0.8,Yes,Primary,4,1
ST00191,Jagrati Patel,TS110,Female,10,77.9,61,78,74,Low,9.6,No,Secondary,8,0
ST00192,Pranit Pai,TS458,Male,7,58.7,55,58,59,Medium,4.4,No,None,7,0
ST00193,Ekaraj Nigam,TS049,Male,8,82.5,78,75,69,Medium,11.8,Yes,None,18,0
ST00194,Ganga Pillai,TS122,Female,6,45.3,40,41,43,Low,5.6,Yes,Primary,21,1
ST00195,Ranbir Chaudhuri,TS071,Female,10,64.3,62,72,62,Medium,0.7,Yes,Primary,11,0
ST00196,Aryan Nagy,TS002,Female,7,77.3,69,65,68,High,4.6,No,Primary,10,0
ST00197,Hitesh Nadkarni,TS042,Male,6,74.2,64,66,73,Medium,3.6,No,Primary,24,0
ST00198,Rajata Gandhi,TS215,Male,9,76.5,65,67,77,Low,4.7,Yes,Secondary,5,0
ST00199,Ekaraj Sinha,TS130,Male,9,94.8,86,82,86,Medium,6.0,No,Graduate,1,0
ST00200,Patrick Bala,TS225,Male,10,62.0,67,58,61,Medium,11.0,Yes,None,25,1
ST00201,Parth Hari,TS234,Female,8,85.6,97,92,82,High,6.8,Yes,Primary,13,0
ST00202,Amaira Chana,TS207,Male,7,86.0,83,91,91,High,10.8,No,Secondary,21,0
ST00203,Theodore Balan,TS339,Male,7,58.7,55,54,61,Low,1.1,Yes,Primary,23,1
ST00204,Nihal Kumar,TS474,Female,6,82.5,75,82,73,Low,9.9,Yes,Secondary,29,1
ST00205,Raagini Gopal,TS115,Male,6,60.4,49,58,56,Medium,4.8,Yes,Secondary,3,0
ST00206,Megha Dixit,TS090,Female,7,84.3,66,82,70,Medium,11.5,No,Graduate,11,0
ST00207,Darpan Kanda,TS085,Female,6,71.4,78,61,76,Low,11.0,Yes,Secondary,12,0
ST00208,Liam Walla,TS142,Male,6,82.9,90,80,82,High,6.9,Yes,Graduate,2,0
ST00209,Aarna Warrior,TS496,Male,10,51.4,49,44,51,Low,9.0,No,Primary,25,1
ST00210,Oeshi Chakraborty,TS199,Female,9,46.3,48,39,55,Low,8.5,Yes,Primary,3,1
ST00211,Yashica Pandey,TS241,Female,8,78.7,65,65,80,Low,2.2,Yes,Secondary,0,0
ST00212,Logan Sidhu,TS280,Male,9,92.3,91,87,89,Low,2.1,Yes,Primary,4,0
ST00213,Deepa Sinha,TS294,Female,9,61.1,68,50,57,Low,11.1,Yes,None,10,1
ST00214,Oviya De,TS103,Male,6,48.9,55,43,48,Medium,9.5,Yes,None,1,0
ST00215,Watika Ramakrishnan,TS353,Female,9,77.7,83,71,81,Low,5.5,Yes,Secondary,30,0
ST00216,Ayushman Sharma,TS279,Male,8,65.9,55,56,69,Low,10.8,Yes,Primary,14,1
ST00217,Jalsa Mital,TS427,Male,8,59.8,68,49,51,Medium,9.0,Yes,Primary,26,1
ST00218,Nachiket Deo,TS067,Female,6,97.9,95,91,94,Low,2.4,Yes,Secondary,17,0
ST00219,Gunbir Chada,TS187,Male,6,67.4,63,75,62,Low,7.3,Yes,Secondary,16,1
ST00220,Neha Mishra,TS390,Female,6,85.7,81,76,76,Low,1.2,Yes,Secondary,27,0
ST00221,Jeet Tiwari,TS322,Female,6,56.4,49,57,45,Low,8.9,Yes,Graduate,23,1
ST00222,Jasmit Goyal,TS169,Female,6,53.3,54,62,52,High,7.9,Yes,Secondary,2,0
ST00223,Ekanta Nair,TS200,Female,6,64.8,61,61,58,Medium,4.0,Yes,Primary,0,0
ST00224,Nidra Edwin,TS382,Female,6,96.9,86,83,87,Medium,9.4,Yes,None,27,0
ST00225,Saksham Maharaj,TS256,Male,7,70.3,78,78,58,Low,9.5,Yes,Primary,7,0
ST00226,Nikita Mahajan,TS483,Male,8,80.7,76,74,74,Low,9.0,Yes,Graduate,23,1
ST00227,Indrajit Sur,TS356,Male,6,49.2,52,48,61,High,3.1,Yes,Secondary,4,0
ST00228,Nandini Sandhu,TS100,Female,6,94.6,96,97,92,Low,4.9,Yes,Graduate,2,0
ST00229,Tanveer Deep,TS466,Male,8,93.0,81,86,95,Medium,1.8,Yes,None,29,0
ST00230,Balveer Sankar,TS052,Female,6,65.5,61,49,68,Low,4.2,No,Primary,23,1
ST00231,Rehaan Nair,TS317,Female,8,67.7,57,55,56,Medium,3.0,Yes,None,15,0
ST00232,Eshana Chaudhary,TS395,Male,8,60.4,53,63,63,Low,6.3,Yes,Secondary,8,1
ST00233,Ekaraj Kaul,TS351,Female,10,92.2,92,86,92,Low,11.1,Yes,Graduate,13,0
ST00234,Fitan Mani,TS341,Male,8,85.9,81,82,80,Low,8.8,Yes,Primary,0,0
ST00235,Waida Seth,TS491,Female,9,88.4,92,89,84,High,2.9,No,Graduate,15,0
ST00236,Vinaya Chanda,TS073,Female,10,87.8,81,76,92,Medium,3.4,Yes,Secondary,23,0
ST00237,Kashish Chahal,TS151,Male,10,60.9,59,62,55,Medium,4.9,Yes,Secondary,5,0
ST00238,Upasna Bhandari,TS357,Male,10,85.9,72,76,86,Medium,2.8,Yes,Secondary,12,0
ST00239,Balhaar Walla,TS205,Male,10,69.6,71,60,70,Medium,8.2,Yes,Secondary,1,0
ST00240,Ishaan Jhaveri,TS399,Male,9,59.8,64,54,62,Low,1.1,Yes,Primary,12,1
ST00241,Rudra Varkey,TS499,Male,7,65.7,73,68,77,High,8.2,Yes,Primary,14,0
ST00242,Hritik Lal,TS263,Female,6,68.2,63,73,63,Low,2.2,Yes,Secondary,5,1
ST00243,Jyoti Sehgal,TS083,Male,9,82.0,84,70,71,Low,2.8,Yes,Secondary,23,0
ST00244,Hredhaan Dixit,TS124,Female,7,85.8,74,80,84,Low,11.4,Yes,Primary,29,1
ST00245,Aarna Dora,TS110,Male,10,77.9,67,70,68,Medium,11.9,Yes,Secondary,22,0
ST00246,Neel Mani,TS303,Female,7,48.7,56,57,57,Medium,4.7,Yes,Primary,24,1
ST00247,Ethan Oak,TS449,Male,9,62.5,53,53,56,Medium,9.1,No,Secondary,19,1
ST00248,Ranbir Murthy,TS358,Female,10,81.2,92,74,77,High,12.0,Yes,Graduate,4,0
ST00249,Abeer Kumer,TS186,Female,9,97.8,96,99,88,Medium,11.8,Yes,Primary,19,0
ST00250,Triya Gaba,TS360,Female,6,87.1,76,80,83,Low,6.3,Yes,Primary,8,0
ST00251,Siya Hans,TS356,Female,6,55.4,48,44,47,Medium,4.9,Yes,Primary,17,1
ST00252,Triya Ramanathan,TS384,Female,9,50.2,54,41,46,Medium,2.9,No,Primary,4,0
ST00253,Netra Sastry,TS285,Female,9,56.5,49,57,64,Medium,9.2,Yes,Primary,4,0
ST00254,Ucchal Sethi,TS449,Female,7,96.4,94,81,90,Medium,0.8,Yes,Primary,11,0
ST00255,Madhavi Tella,TS301,Male,10,47.8,51,43,51,Medium,1.3,Yes,Primary,19,1
ST00256,Jeremiah Narang,TS355,Female,9,62.3,69,74,67,High,8.0,Yes,Primary,17,1
ST00257,Chaitaly Sampath,TS388,Female,9,50.8,50,45,47,Medium,1.3,Yes,Primary,11,0
ST00258,Hiral Balakrishnan,TS394,Male,6,80.9,70,84,72,Medium,7.6,Yes,Primary,17,0
ST00259,Azaan Talwar,TS317,Male,6,70.4,68,63,63,Medium,4.1,Yes,Secondary,3,0
ST00260,Urishilla Chaudry,TS007,Female,8,47.0,51,53,47,Low,7.0,Yes,Secondary,8,1
ST00261,Leela Bhattacharyya,TS028,Male,7,95.5,86,79,95,Medium,1.6,No,Primary,17,0
ST00262,Naksh Dugar,TS199,Male,6,52.0,36,56,39,Low,8.2,No,Primary,14,1
ST00263,Zashil Doshi,TS038,Male,10,61.5,50,58,60,Low,10.9,Yes,Graduate,13,1
ST00264,Saanvi Kakar,TS096,Female,8,74.4,76,60,59,Low,6.4,No,Secondary,21,1
ST00265,Ucchal Apte,TS287,Male,6,61.9,56,67,65,Medium,9.4,Yes,Secondary,29,1
ST00266,Sara Batta,TS127,Female,9,64.1,67,62,67,Medium,3.7,Yes,Primary,15,0
